codigo;nome comercial;apresentacao;marca;descricao;rms;ean;unidade;quantidade_unidade
1131100003;Compressa para curativo cirurgico luiza premium 10cm x15cm, c/ 1 un;;AMERICAN;;81481900010;;;1308
1136;Alcool em Gel 70% 5l;;ARANTES E NETO;;;;;2
16256;CISATRA Besilato de Cistracurio 20mg/10ml (2mg/ml) fr 10ml;;THEMIS MEDICARE;;;;;18263
16466;ROCUFINE Brometo de Rocuronio 50mg/5ml (10mg/ml) fr 5ml;;THEMIS MEDICARE;;;;;2140
16468;SUXA-SWISS Cloreto de Suxametonio 100mg/2ml (50mg/ml) cx c/10amp 2ml;;SWISS PARENTERAL;;;;;43400
16821;Polimixina B 500.000 IU;;PROTECH TELELINKS;;;;;354
16822;Polimixina B 500.000 IU;;ANG LIFES CIENCES INDIA LTDA;;;;;69
16823;MUSCOBLOC Rocuronium Bromide Injection 50mg/5ml;;AROMA LAÇ SANAY;;;;;16170
2000000021973;Mascara Tripla c/Tiras c/Clipe Nasal Pct c/100;;DEJAMARO;;81605660004;2000000021973;;838
20001;Seringa Uso Unico s/Agulha Lock 20ml;;SALDANHA RODRIGUES;;81391540009;;;81790
20003;Seringa Uso Unico s/Agulha Slip 20ml;;SALDANHA RODRIGUES;;80026180029;;;281180
2160;Reservatorio J-Vac 100ml;;ETHICON - J&J;;10132590602;10705031003293;;9
2163;Reservatorio JVAC de 300ml;;ETHICON - J&J;;10132590602;10705031003323;;1
2227;"Dreno Blake 10FR, Hubless, trocarte 1/8"""" flexivel";;ETHICON - J&J;;80145901740;10705031003552;;2
2232;Hubless 19 Frd, 1/14 Trocar;;ETHICON - J&J;;80145901740;10705031003606;;3
237;Lanceta Segurança ML04 21G 0,82 x 1,82 MM CX 100;;MEDLEVENSOHN;;80560310040;7908007903535;;1106
242;Lanceta Segurança ML04 30G 0,31 x 1,4 MM CX 100;;MEDLEVENSOHN;;80560310040;7908007903573;;20
250;Gorro desc. Stand. Branco, pct c/ 100 unid.;;ANADONA;;80175349005;7898433202503;;1144
312;Solucao Controle de Glicose OCP II - G123-12C (Nivel 0,1 e 2);;MEDLEVENSOHN;;80560310031;7908007901241;;3
40005;Agulha hipodermica SR 25 X 0,6;;SALDANHA RODRIGUES;;80026180009;7898259491310;;1700
447;Lençol hosp. descarbox ecologic 50x50;;DESCARBOX;;80937630013;7898951599642;;126
448;Lençol hosp. descarbox ecologic 70x50;;DESCARBOX;;80937630013;7898951599659;;535
454;Tira Glicose Individual 25 Amarela OCP II CX 25;;MEDLEVENSOHN;;80560310031;7908007901210;;7377
4987;Incise 28 cm X 30 cm Cx c/10;;SMITH NEPHEW;;80804050002;5000223049874;;10
657;Monitor Glicose Simples Amarelo Ocp2 G113-11c;;MEDLEVENSOHN;;;7908007901098;;167
66800560;Durafiber 10x10cm Cx c/ 10;;SMITH NEPHEW;;80804050185;5000223466954;;2
66800912;Renasys Ez Plus 800ml Canister;;SMITH NEPHEW;;80804050034;SEM GTIN;;10
66800913;Renasys Ezplus Canister 250ml;;SMITH NEPHEW;;80804050034;SEM GTIN;;16
66800916;Renasys Go 750ml 750ml Cx c/1;;SMITH NEPHEW;;80804050154;SEM GTIN;;2
66800971;Y-Connector Y-Connector Cx c/1;;SMITH NEPHEW;;80804050154;SEM GTIN;;1
80003;Agulha Hipodermica 13x0,45 Uso Unico Descartável 26g 1/2;;SALDANHA RODRIGUES;;80026180031;;;499500
80004;Agulha Hipodermica 20x0,55 Uso Unico Descartável 24g 3/4;;SALDANHA RODRIGUES;;80026180009;7898259491297;;299500
80006;Agulha Hipodermica 25x0,7 Uso Unico Descartável 22g 1 1/4;;SALDANHA RODRIGUES;;80026180031;7898259491327;;268400
80007;Agulha Hipodermica 25x0,8 Uso Unico Descartável 21g 1;;SALDANHA RODRIGUES;;80026180031;7898259491334;;149500
80008;Agulha Hipodermica 30x0,7 Uso Unico Descartável 22g 1;;SALDANHA RODRIGUES;;80026180031;7898259491426;;243598
80009;Agulha Hipodermica 30x0,8 Uso Unico Descartável 21g 1 1/4;;SALDANHA RODRIGUES;;80026180031;;;145000
80011;Agulha Hipodermica 40x1,2 Uso Unico Descartável 18g 1 1/2;;SALDANHA RODRIGUES;;80026180031;7898259491457;;475600
8006400;Dreno de Aspiração Pos Operatorio Drenoplass 6,4mm;;INCOMEPE;;10395270002;SEM GTIN;;6
88;Coletor descarbox ecologic 03 lt;;DESCARBOX;;80937630002;7898951599512;;1783
89;Coletor descarbox ecologic 07 lt;;DESCARBOX;;80937630002;7898951599529;;2835
90;Coletor descarbox ecologic 13 lt;;DESCARBOX;;80937630002;7898951599536;;5
AVC0030131;Avental Cirúrgico Descartável “Gg” (40gr - 120 x 158) Estéril.;;TECDESC;;80893580003;SEM GTIN;;3310
AVC0030214;Avental Cirúrgico Descartável “G” (40gr - 120 x 152)  – Inv. Estéril;;TECDESC;;80893580003;SEM GTIN;;778
GEM00002;Avental Cirurgico Descartável 50g/M2 - G, SMS, 120X140CM;;Gemmini-Super Union;; 81434510005;;;14488
GEM00003;Avental Cirúrgico Descartável 50g/M2 - XG, SMS, 130X150CM;;Gemmini-Super Union;; 81434510005;;;21169
GEM00004;Luva de Nitrilo para procedimento não cirurgico sem po tamanho P Cx c/100un;;GEMMINIPUYANG;;81434510004;;;13124
GEM00005;Luva de Nitrilo para procedimento não cirurgico sem po tamanho M Cx c/100 un;;GEMMINIPUYANG;;81434510004;;;13294
GEM00006;Luva de Nitrilo para procedimento não cirurgico sem po tamanho G Cx c/100 un;;GEMMINIPUYANG;;81434510004;;;6142
GEM00007;Luva de Nitrilo para procedimento não cirurgico sem po tamanho GG;;GEMMINIPUYANG;;81434510004;;;318
GEM00008;Escova Dental Com Sucção;;GEMMIN-SHANDONG;;81434510006;;;669989
HK;Histerometro Esteril;;KOLPLAST;;;;;826
P2030001;Imunoglobulina Humano Normal - Frascos De 100ml (5g/100ml);;INTAS;;;;;0
PA.0231;Esparadrapo impermeável 1,2 cm x 4,5 m;;MISSNER & MISSNER;;80003300017;7896544900073;;983
PA.0233;Esparadrapo impermeável 2,5 cm x 4,5 m;;MISSNER & MISSNER;;80003300017;7896544925458;;1006
PA.0235;Esparadrapo impermeável 5 cm x 4,5 m;;MISSNER & MISSNER;;80003300017;7896544910058;;757
PA.0369;Fita cirúrgica microporosa bege 1,2 cm x 4,5 m;;MISSNER & MISSNER;;80003300024;7896544900288;;396
PA.0373;Fita cirúrgica microporosa bege 2,5 cm x 4,5 m;;MISSNER & MISSNER;;80003300024;7896544900264;;521
PA.0376;Fita cirúrgica microporosa bege  5,0 cm x 4,5 m;;MISSNER & MISSNER;;80003300024;7896544900257;;462
PA.0570;Fita cirúrgica microporosa branca 1,2 cm x 10 m;;MISSNER & MISSNER;;80003300024;7896544900134;;956
PA.0571;Fita cirúrgica microporosa branca 1,2 cm x 4,5 m;;MISSNER & MISSNER;;80003300024;7896544900011;;539
PA.0573;Fita cirúrgica microporosa branca 10,0 cm x 4,5 m;;MISSNER & MISSNER;;80003300024;7896544900158;;60
PA.0574;Fita cirúrgica microporosa  branca 2,5 cm x 10 m;;MISSNER & MISSNER;;80003300024;7896544900127;;4630
PA.0575;Fita cirúrgica microporosa branca 2,5 cm x 4,5 m;;MISSNER & MISSNER;;80003300024;7896544900097;;497
PA.0577;Fita cirurgica microporosa branca   5,0cm x10m;;MISSNER & MISSNER;;80003300024;7896544900110;;4715
PA.0578;Fita cirúrgica microporosa branca 5,0 cm x 4,5 m;;MISSNER & MISSNER;;80003300024;7896544900165;;261
PA.0691;Curativo bege 40 und;;MISSNER & MISSNER;;80003300018;7896544901308;;414
PA.0692;Curativo bege 10 und;;MISSNER & MISSNER;;80003300018;7896544901292;;449
PA.0697;Curativo transparente 40 und;;MISSNER & MISSNER;;80003300018;7896544901285;;450
PA.0698;Curativo transparente 10 und;;MISSNER & MISSNER;;80003300018;7896544901278;;455
PA.0750;Esparadrapo impermeável 10 cm x 4,5 m;;MISSNER & MISSNER;;80003300017;7896544910102;;307
PA.0944;Película protetora sem ardor Derma Protect- CX C/12 un;;MISSNER & MISSNER;;81403200001;7896544902862;;126
SC002;Lamina para Tricotomizador Cirurgico Cx C/ 50;;ME MEDICAL;;80722800007;SEM GTIN;;1800
SHHMP-0008;Torneira 3 vias Luer Lock;;GEMMINI-HEALTH MEDICAL;;81434519002;;;25001
SHHMP-0015;Adaptador para transferência de soluções - ponta dupla;;GEMMINI-HEALTH MEDICAL;;81434510001;;;25483
SHHMP-0015-F;Adaptador para transferência de soluções - ponta dupla;;GEMMINI-HEALTH MEDICAL;;81434510001;;;57932
SHHMP-0022;Extensor Duas Vias Valvulado;;GEMMINI-HEALTH MEDICAL;;81434519003;;;34593
SHHMP-0030-2;Equipo Macrogotas Completo Luer Lock Fotossensivel;;GEMMINI-HEALTH MEDICAL;;81434519005;;;92081
SHHMP-0030-3;Equipo Macrogotas completo Luer Lock;;GEMMINI-HEALTH MEDICAL;;81434519006;;;0
SHHMP-0030-4;Equipo Compl. Luer Lock - Equipo De Infusao Esteril;;GEMMINI-HEALTH MEDICAL;;81434519006;;;95398
SHHMP-0034-1;Conector Sistema Fechado Octogonal  ( Tego ) Transparente;;GEMMINI-HEALTH MEDICAL;;81434510003;;;198708
SHHMP-0035;Conector Sistema Fechado (Tego) transparente;;GEMMINI-HEALTH MEDICAL;;81434510002;;;199747
TL13;Acionador (Borrifador) Descartável para Frasco Spray;;PRIDEMED;;;;;1410
TRA0000875;Travessa descartável 100x150 imp. C/10 unidades;;TECDESC;;ISENTO;SEM GTIN;;996
