10991000;DM Implantável Ativo (DMIA);ELA Medical;JR607;Stelix II BRF26D;Sorin;Electrocateteres endocárdicos bipolares auriculares e ventriculares  (de fixação activa e passiva) (J0190010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula e ventrículo do coração do doente. Transmitem ao coração o impulso estimulante bipolar proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os electrodos de fixação passiva são caracterizados pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os de fixação activa apresentam um sistema de fixação tipo parafuso. Os dispositivos descritos são de uso único.";MICROPORT CRM PORTUGAL, LDA
10991042;DM Implantável Ativo (DMIA);Boston Scientific Corporation;F010;CONFIENT;BOSTON SCIENTIFIC;Desfibrilhadores de dupla câmara com sensor (J01050201);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilhação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por dois electrocateteres com sensor (localizados na aurícula e ventrículo direitos) com função de detecção de arritmias e de  estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10991050;DM Implantável Ativo (DMIA);Boston Scientific Corporation;4549;3 IS-1;EASYTRAK;Electrocateteres para ventrículo esquerdo com sistema de cânula no seio coronário (pacemaker de tripla câmara) (J0190010103);Dispositivos estéreis utilizados para estabelecer a ligação eléctrica permanente de um pacemaker de tripla câmara ao ventriculo esquerdo do doente. Transmitem ao coração o impulso estimulante proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Estes electrocateteres são fixados à superfície interna do ventrículo. Os dispositivos descritos são de uso único.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10991069;DM Implantável Ativo (DMIA);Boston Scientific Corporation;S203;S203;ALTRUA 20;Pacemaker de dupla câmara com sensor (DR) (J01010302);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca.  Possuem dois electrocateteres, colocados na aurícula e ventrículo direitos, capazes de detectar (função de sensing) e/ou estimular(função de pacing) ambas as câmaras independentemente da sua actividade intrínseca.  A função de pacing  é modulada com base nas medições dos parametros fisiológicos efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10991077;DM Implantável Ativo (DMIA);Boston Scientific Corporation;S501;S501;ALTRUA 50;Pacemaker de câmara única com sensor (SR) (J01010102);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca. Utilizam apenas um eléctrodo transvenoso com sensor colocado na câmara superior direita (aurícula direita) ou na câmara inferior direita (ventrículo direito) do coração para veicular o sinal e efectuar a estimulação a uma frequência variável, dependendo das medições dos parâmetros fisiológicos efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10991085;DM Implantável Ativo (DMIA);Boston Scientific Corporation;S508;S508;ALTRUA 50;Pacemaker de câmara única (SC) (J01010101);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca. Utilizam apenas um eléctrodo transvenoso colocado na câmara superior direita (aurícula direita) ou na câmara inferior direita (ventrículo direito) do coração para veicular o sinal e efectuar a estimulação a uma frequência fixa.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10991093;DM Implantável Ativo (DMIA);Boston Scientific Corporation;S603;S603;ALTRUA 60;Pacemaker de dupla câmara com sensor (DR) (J01010302);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca.  Possuem dois electrocateteres, colocados na aurícula e ventrículo direitos, capazes de detectar (função de sensing) e/ou estimular(função de pacing) ambas as câmaras independentemente da sua actividade intrínseca.  A função de pacing  é modulada com base nas medições dos parametros fisiológicos efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10991107;DM Implantável Ativo (DMIA);Boston Scientific Corporation;S401;S401;ALTRUA 40;Pacemaker de câmara única com sensor (SR) (J01010102);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca. Utilizam apenas um eléctrodo transvenoso com sensor colocado na câmara superior direita (aurícula direita) ou na câmara inferior direita (ventrículo direito) do coração para veicular o sinal e efectuar a estimulação a uma frequência variável, dependendo das medições dos parâmetros fisiológicos efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10991204;DM Implantável Ativo (DMIA);BIOTRONIK SE & Co. KG;355148;Corox OTW;Biotronik;Electrocateteres para ventrículo esquerdo com sistema de cânula no seio coronário (pacemaker de tripla câmara) (J0190010103);Dispositivos estéreis utilizados para estabelecer a ligação eléctrica permanente de um pacemaker de tripla câmara ao ventriculo esquerdo do doente. Transmitem ao coração o impulso estimulante proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Estes electrocateteres são fixados à superfície interna do ventrículo. Os dispositivos descritos são de uso único.;Biotronik Portugal, Unipessoal Lda.
10991204;DM Implantável Ativo (DMIA);BIOTRONIK SE & Co. KG;355148;Corox OTW;Biotronik;Electrocateteres para ventrículo esquerdo com sistema de cânula no seio coronário (pacemaker de tripla câmara) (J0190010103);Dispositivos estéreis utilizados para estabelecer a ligação eléctrica permanente de um pacemaker de tripla câmara ao ventriculo esquerdo do doente. Transmitem ao coração o impulso estimulante proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Estes electrocateteres são fixados à superfície interna do ventrículo. Os dispositivos descritos são de uso único.;CEM BIOTRONIK S.A.
10991220;DM Implantável Ativo (DMIA);BIOTRONIK SE & Co. KG;354805;Corox OTW;Biotronik;Electrocateteres para ventrículo esquerdo com sistema de cânula no seio coronário (pacemaker de tripla câmara) (J0190010103);Dispositivos estéreis utilizados para estabelecer a ligação eléctrica permanente de um pacemaker de tripla câmara ao ventriculo esquerdo do doente. Transmitem ao coração o impulso estimulante proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Estes electrocateteres são fixados à superfície interna do ventrículo. Os dispositivos descritos são de uso único.;CEM BIOTRONIK S.A.
10991220;DM Implantável Ativo (DMIA);BIOTRONIK SE & Co. KG;354805;Corox OTW;Biotronik;Electrocateteres para ventrículo esquerdo com sistema de cânula no seio coronário (pacemaker de tripla câmara) (J0190010103);Dispositivos estéreis utilizados para estabelecer a ligação eléctrica permanente de um pacemaker de tripla câmara ao ventriculo esquerdo do doente. Transmitem ao coração o impulso estimulante proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Estes electrocateteres são fixados à superfície interna do ventrículo. Os dispositivos descritos são de uso único.;Biotronik Portugal, Unipessoal Lda.
10991239;DM Implantável Ativo (DMIA);Medtronic Inc. ;6094-52;Stylet Kit kit de mandrins;Medtronic;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10991247;DM Implantável Ativo (DMIA);Medtronic Inc. ;6094;Stylet Kit kit de mandrins;Medtronic;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10991280;DM Implantável Ativo (DMIA);Medtronic Inc. ;ADDR01;ADAPTA® ADDR01;Medtronic;Pacemaker de dupla câmara com sensor (DR) (J01010302);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca.  Possuem dois electrocateteres, colocados na aurícula e ventrículo direitos, capazes de detectar (função de sensing) e/ou estimular(função de pacing) ambas as câmaras independentemente da sua actividade intrínseca.  A função de pacing  é modulada com base nas medições dos parametros fisiológicos efectuadas pelo sensor.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10991301;DM Implantável Ativo (DMIA);Medtronic Inc. ;SES01;SENSIA;Medtronic;Pacemaker de câmara única (SC) (J01010101);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca. Utilizam apenas um eléctrodo transvenoso colocado na câmara superior direita (aurícula direita) ou na câmara inferior direita (ventrículo direito) do coração para veicular o sinal e efectuar a estimulação a uma frequência fixa.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10991310;DM Implantável Ativo (DMIA);St. Jude Medical - Cardiac Rhythm Management Division | Abbott Medical;2402L;REGENCY;St Jude Medical;Pacemaker de câmara única (SC) (J01010101);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca. Utilizam apenas um eléctrodo transvenoso colocado na câmara superior direita (aurícula direita) ou na câmara inferior direita (ventrículo direito) do coração para veicular o sinal e efectuar a estimulação a uma frequência fixa.;ABBOTT MEDICAL (PORTUGAL) - DISTRIBUIÇÃO DE PRODUTOS MÉDICOS, LDA
10991328;DM Implantável Ativo (DMIA);Boston Scientific Corporation;H249;LIVIAN;BOSTON SCIENTIFIC;Desfibrilhadores de tripla câmara com sensor (J01050301);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por três electrocateteres com sensor (localizados em três compartimentos do coração) com função de detecção de arritmias potencialmente letais e estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10991336;DM Implantável Ativo (DMIA);Medtronic Inc. ;6057-65;Stylet Kit kit de mandrins;Medtronic;Electrocateteres permanentes para desfibrilhadores de dupla espiral (J019001020102);"Dispositivos estérieis utilizados para estabelecer a ligação eléctrica permanente de um desfibrilhador implantável de dupla espiral à cavidade interna do ventrículo direito. Transmitem ao coração um impulso de reversão proveniente do desfibrilhador e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Estes electrodos podem ter um sistema de fixação passiva (caracterizada pela presença de apêndices isolantes, denominados ""barbas"", colocados nas laterais do eléctrodo distal) ou activa (caracterizado por um sistema de âncora tipo parafuso). Os dispositivos descritos são de uso único.";MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10991344;DM Implantável Ativo (DMIA);Medtronic Inc. ;6057-58;Stylet Kit kit de mandrins;Medtronic;Electrocateteres permanentes para desfibrilhadores de dupla espiral (J019001020102);"Dispositivos estérieis utilizados para estabelecer a ligação eléctrica permanente de um desfibrilhador implantável de dupla espiral à cavidade interna do ventrículo direito. Transmitem ao coração um impulso de reversão proveniente do desfibrilhador e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Estes electrodos podem ter um sistema de fixação passiva (caracterizada pela presença de apêndices isolantes, denominados ""barbas"", colocados nas laterais do eléctrodo distal) ou activa (caracterizado por um sistema de âncora tipo parafuso). Os dispositivos descritos são de uso único.";MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10991409;DM Implantável Ativo (DMIA);Boston Scientific Corporation;F030;F030;CONFIENT;Desfibrilhadores de dupla câmara com sensor (J01050201);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilhação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por dois electrocateteres com sensor (localizados na aurícula e ventrículo direitos) com função de detecção de arritmias e de  estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10991417;DM Implantável Ativo (DMIA);Medtronic Inc. ;REDR01;RELIA;Medtronic;Pacemaker de dupla câmara com sensor (DR) (J01010302);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca.  Possuem dois electrocateteres, colocados na aurícula e ventrículo direitos, capazes de detectar (função de sensing) e/ou estimular(função de pacing) ambas as câmaras independentemente da sua actividade intrínseca.  A função de pacing  é modulada com base nas medições dos parametros fisiológicos efectuadas pelo sensor.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10991425;DM Implantável Ativo (DMIA);Medtronic Inc. ;REVDD01;RELIA;Medtronic;Pacemaker de cateter único VDDR com sensor (J01010202);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca. São constituídos por um só electrocateter tripolar que permite detectar a actividade na auricula direita(função de sensing ) e detectar e estimular a actividade do ventriculo direito (função de sensing e pacing). A função de pacing ventricular é modulada com base nas medições dos parametros fisiológicos efectuadas pelo sensor.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10991441;DM Implantável Ativo (DMIA);Medtronic Inc. ;RES01;RELIA;Medtronic;Pacemaker de câmara única (SC) (J01010101);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca. Utilizam apenas um eléctrodo transvenoso colocado na câmara superior direita (aurícula direita) ou na câmara inferior direita (ventrículo direito) do coração para veicular o sinal e efectuar a estimulação a uma frequência fixa.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10991450;DM Implantável Ativo (DMIA);Medtronic Inc. ;SED01;SENSIA;Medtronic;Pacemaker de dupla câmara (DC) (J01010301);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca. Possuem dois electrocateteres, colocados na aurícula e ventrículo direitos, capazes de detectar (função de sensing) e/ou estimular(função de pacing) ambas as câmaras independentemente da sua actividade intrínseca.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10991468;DM Implantável Ativo (DMIA);Medtronic Inc. ;SEDR01;SENSIA;Medtronic;Pacemaker de dupla câmara com sensor (DR) (J01010302);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca.  Possuem dois electrocateteres, colocados na aurícula e ventrículo direitos, capazes de detectar (função de sensing) e/ou estimular(função de pacing) ambas as câmaras independentemente da sua actividade intrínseca.  A função de pacing  é modulada com base nas medições dos parametros fisiológicos efectuadas pelo sensor.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10991476;DM Implantável Ativo (DMIA);Medtronic Inc. ;ADDR03;ADAPTA® ADDR03;Medtronic;Pacemaker de dupla câmara com sensor (DR) (J01010302);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca.  Possuem dois electrocateteres, colocados na aurícula e ventrículo direitos, capazes de detectar (função de sensing) e/ou estimular(função de pacing) ambas as câmaras independentemente da sua actividade intrínseca.  A função de pacing  é modulada com base nas medições dos parametros fisiológicos efectuadas pelo sensor.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
