1630,"AGULHA DESC. 20X5,5 DISP SEG ",LABOR IMPORT,UN,CX C/ 100 UN,100,17898157729734
3263,AGULHA DESC. 25X06,SR,UN,CX C/ 100 UN,100,7898259491310
821,AGULHA DESC. 25X06 DISP SEG,SR,UN,CX C/ 100 UN,100,17898259491386
815,AGULHA DESC. 25X06 DISP SEG ,LABOR IMPORT,UN,CX C/ 100 UN,100,27898157729793
1629,AGULHA DESC. 25X07,SR,UN,CX C/ 100 UN,100,7898259491327
1543,AGULHA DESC. 25X07,DESCARPACK,UN,CX C/ 100 UN,100,7898283814215
2366,AGULHA DESC. 25X07 ,SOL-MILLENNIUM,UN,CX C/ 100 UN,100,1230000059404
1686,AGULHA DESC. 25X07 DISP SEG,SOL-MILLENNIUM,UN,CX C/ 100 UN,100,10818392013303
825,AGULHA DESC. 25X07 DISP SEG,SR,UN,CX C/ 100 UN,100,27898259498672
1005,AGULHA DESC. 25X08,DESCARPACK,UN,CX C/100 UN ,100,7898283814222
1626,AGULHA DESC. 25X08,SR,UN,CX C/ 100 UN,100,7898259491334
1695,AGULHA DESC. 25X08 ,SOL-MILLENNIUM,UN,CX C/ 100 UN,100,1230000059428
971,AGULHA DESC. 25X08 DISP SEG,SR,UN,CX C/100 UN,100,27898259498689
1684,AGULHA DESC. 25X08 DISP SEG,SOL-MILLENNIUM,UN,CX C/ 100 UN,100,10818392013242
809,AGULHA DESC. 30X07,SR,UN,CX C/100 UN,100,7898259491426
1006,AGULHA DESC. 30X07,DESCARPACK,UN,CX C/100 UN ,100,7898283814239
1856,AGULHA DESC. 30X07 ,SR,UN,CX C/ 100 UN,100,1230000059411
1698,AGULHA DESC. 30X07 DISP SEG,SOL-MILLENNIUM,UN,CX C/ 100 UN,100,1230000054225
970,AGULHA DESC. 30X07 DISP SEG,SR,UN,CX C/ 100 UN,100,27898259498696
2303,AGULHA DESC. 30X08,SR,UN,CX C/ 100 UN,100,7898259491433
632,AGULHA DESC. 30X08,DESCARPACK,UN,CX C/ 100 UN,100,7898283814246
1688,AGULHA DESC. 30X08 ,SOL-MILLENNIUM,UN,CX C/ 100 UN,100,7890000003587
2301,AGULHA DESC. 30X08 DISP SEG,SR,UN,CX C/ 100 UN,100,27898259498702
3438,AGULHA DESC. 30X08 DISP SEG,SR,UN,CX C/ 1000,1000,27898259498580
1694,AGULHA DESC. 30X08 DISP SEG,SOL-MILLENNIUM,UN,CX C/ 100 UN,100,1230000054201
1627,AGULHA DESC. 40X12,SR,UN,CX C/ 100 UN,100,7898259491457
602,AGULHA DESC. 40X12,DESCARPACK,UN,CX C/ 100 UN,100,7898283814253
1685,AGULHA DESC. 40X12 ,SOL-MILLENNIUM,UN,CX C/ 100 UN,100,1230000059442
826,AGULHA DESC. 40X12 DISP SEG,SR,UN,CX C/ 100 UN,100,27898259498719
2364,AGULHA DESC. 40X12 DISP SEG,SOL-MILLENNIUM,UN,CX C/ 100 UN,100,10818392013167
2302,AGULHA DESC. 40X12 DISP SEG,SR,UN,CX C/ 200 UN,200,7898259498641
1689,AGULHA MULTIPLA COLETA 25X8 DISP SEG VAC,SOL-MILLENNIUM,UN,CX C/ 100 UN,100,1230000054515
1692,AGULHA MULTIPLA COLETA 32X8 DISP SEG VAC,SOL-MILLENNIUM,UN,CX C/ 48 UN,48,10818392019152
1850,"AGULHA P/ CANETA 4X0,23MM",SOL-MILLENNIUM,UN,CX C/ 100 UN,100,10818392019121
1852,"AGULHA P/ CANETA 5X0,25MM",SOL-MILLENNIUM,UN,CX C/ 100 UN,100,1230000059336
3332,AGULHA P/RAQUI TIPO QUINCK 26GX3 1/2,PROCARE,UN,CX C/ 25 UN,25,17898157725200
829,AGULHA P/RAQUI TIPO QUINCKE 20GX3 1/2,UNISIS,UN,CX C/ 1 UN,1,4582231252114
3333,AGULHA P/RAQUI TIPO QUINCKE 22GX3 1/2,PROCARE,UN,CX C/ 25 UN,25,17898157725187
2433,AGULHA P/RAQUI TIPO QUINCKE 25GX3 1/2,PROCARE,UN,CX C/ 25 UN,25,17898157725194
2432,AGULHA P/RAQUI TIPO QUINCKE 27GX3 1/2,PROCARE,UN,CX C/ 25 UN,25,17898157725217
831,AGULHA P/RAQUI TIPO TUOHY 17GX3 1/2 ,UNISIS,UN,CX C/ 1 UN,1,4582231252480
832,AGULHA P/RAQUI TIPO TUOHY 20GX3 1/2 ,UNISIS,UN,CX C/ 25 UN,25,7899780118004
2005,"AKYNZEO 300,56 MG CP",MUNDIPHARMA,CP,CX C/ 1 CP,1,7898586630772
2562,ALBENDAZOL 40 MG/ML SUS OR 10 ML,PRATI DONADUZZI,FR,CX C/ 1 FR,1,7898148292936
3229,ALBENDAZOL 40 MG/ML SUS OR 10 ML ,LEGRAND,FR,CX C/ 1 FR,1,7894916143264
170,ALBENDAZOL 40 MG/ML SUS OR 10 ML VP,EMS,FR,CX C/ 1 FR,1,7896004702452
2600,ALBUMINA BLAUBIMAX 20 % INJ,BLAU,FA,CX C/ 1 FA,1,7896014648832
2602,ALBUMINA BLAUBIMAX 20 % INJ,BLAU,FA,CX C/ 10 FA,10,7896014648849
563,ALBUMINA HUMANA 200 MG/ML INJ IV 50ML,BIOTEST,FA,CX C/ 1 FA,1,4036124019518
1447,ALBUMINA OCTALBIN 20% INJ,OCTAPHARMA,FR,CX C/ 1 FA,1,9006477036338
1700,ALCA DESCARTAVEL ESTERIL 10UL 19CM AZUL,CRAL,UN,PT C/100 UN,100,898599570119
1701,ALCA DESCARTAVEL ESTERIL 1UL INDIVIDUAL,CRAL,PC,PT C/ 500 UN,1,7898599570133
1699,ALCA DESCARTAVEL ESTERIL 1UL19CM AMARELO,CRAL,PC,PT C/100,100,7899935305204
2170,ALCOOL ETILICO 70% 1 L,ITAJA,UN,CX C/ 12 UN,12,7898051680803
974,ALCOOL ETILICO 70% 60 ML,INDALABOR,FR,CX C/ 1 UN,1,1100400110020
1519,ALENDIL CÁLCIO D 502 MG X30 + 70MG X4 CP,FQM,CP,CX C/ 34 CP,34,7898040321765
543,ALENDRONATO DE SODIO 70 MG CP,LEGRAND,CP,CX C/ 4 CP,4,7894916143424
2497,ALENDRONATO DE SÓDIO 70 MG CP,EMS,CP,CX C/ 4 CP,4,7896004715322
2440,ALERGALIV 10 MG CP,LEGRAND,CP,CX C/ 15 CP,15,7896004712673
332,ALFAEPOETINA 10.000 UI/ML INJ 1ML,BLAU,FA,CX C/ 1 FA,1,7896014660193
1610,ALFAEPOETINA 2.000 UI/ML INJ 1 ML,BLAU,FA,CX C/ 1 FA,1,7896014661305
3148,ALFAEPOETINA 4000 UI/ML INJ 1 ML,BLAU,UN,CX C/ 12 FA,12,7896014660186
1300,ALFAEPOETINA 4000 UI/ML INJ 1ML,BLAU,FA,CX C/ 1 FA,1,7896014660179
1281,ALFAEPOETINA 40000 UI/ML INJ,BLAU,UN,CX C/ 1 SR,1,7896014658251
1663,"ALFAST 0,544 MG/ML INJ 10 ML (A1) VP",CRISTALIA,AP,CX C/ 10 AP,10,7896676426045
1324,"ALFAST 0,544 MG/ML INJ 5 ML (A1) VP",CRISTALIA,AP,CX C/ 10 AP,10,7896676408256
2096,ALGODAO HIDROFILO BOLA 100 GR,MELHORMED,UN,CX C/ 1 PC,1,7891899085215
2106,ALGODAO HIDROFILO BOLA 100 GR,NATHY,PC,1 UN,50,7898136150286
2104,ALGODAO HIDROFILO ROLO 500 GR,FAROL,UN,CX C/ 1 UN,1,7898093125006
773,ALGODAO ORTOPEDICO 06X1.8,POLARFIX,PT,PT C/ 12 UN,12,7898010929007
761,ALGODAO ORTOPEDICO 08X1.0,POLARFIX,UN,PT C/ 12 UN,12,7898010929915
774,ALGODAO ORTOPEDICO 08X1.8,POLARFIX,PT,PT C/ 12 UN,12,7898010929014
343,ALKERAN 2 MG 25 CP,ASPEN PHARMA,CP,CX C/ 25 CP,25,7895858013103
1213,ALLEXOFEDRIN 120 MG CP,EMS,UN,CX C/ 10 CP,10,7896004768588
1214,ALLEXOFEDRIN 180 MG CP,EMS,UN,CX C/ 10 CP,10,17896004768571
3266,ALLEXOFEDRIN 180 MG CP VP,EMS,UN,CX C/ 10 CP,10,7896004768571
1641,"ALPRAZOLAM 0,25 MG CP (B1) ",EMS,CP,CX C/ 30 CP,30,7896004718811
2824,"ALPRAZOLAM 0,25MG CP(B1)",GERMED,CP,CX C/ 30 CP,30,7896004718859
1617,"ALPRAZOLAM 0,5 MG CP (B1)",EMS,CP,CX C/ 30 CP,30,7896004718804
400,"ALPRAZOLAM 0,5 MG CP(B1)",GERMED,CP,CX C/ 30 CP,30,7896004718866
2526,ALPRAZOLAM 1 MG CP (B1),GERMED,CP,CX C/ 30 CP,30,7896004718873
2610,ALPRAZOLAM 1 MG CP (B1),LEGRAND,CP,CX C/ 30 CP,30,7894916149167
1563,ALPRAZOLAM 1 MG CP (B1) VP,EMS,CP,CX C/ 30 CP,30,7896004718828
2476,ALPRAZOLAM 1G CP (B1),EMS,CP,CX C/ 20 CP,20,7896004710259
1373,ALPRAZOLAM 2 MG CP (B1),EMS,CP,CX C/ 30 CP,30,7896004718842
2915,AMBROXOL 15MG/5 ML  XPE 120 ML,LABORATORIO GLOBO,FR,CX C/ 1 FR,1,1
318,AMBROXOL 3 MG/ML XPE 100 ML,FARMACE,FR,CX C/ 1 FR,1,7898166041516
2916,AMBROXOL 30MG/5 ML  XPE 120 ML,LABORATORIO GLOBO,FR,CX C/ 1 FR,1,7899620913004
322,AMBROXOL 6 MG/ML XPE 100 ML,FARMACE,FR,CX C/ 1 FR,1,17898166041578
1957,AMBROXOL 6 MG/ML XPE 120 ML,EMS,FR,CX C/ 1 FR,1,17896004706290
268,AMICACINA 50 MG/ML INJ 2 ML,TEUTO,AP,CX C/ 50 AP,50,7896112190714
310,AMINOFILINA 24 MG/ML INJ 10 ML,FARMACE,AP,CX C/ 100 AP,100,7898166040724
1183,AMIODARONA 50 MG/ML INJ 3 ML,NOVAFARMA,AP,CX C/ 50 AP ,50,7899498608514
366,AMIODARONA 50 MG/ML INJ 3 ML,HIPOLABOR,AP,CX C/ 100 AP,100,7898123907749
893,AMITRIPTILINA 25 MG CP (C1),GERMED,CP,CX C/ 30 CP,30,7896004727493
3032,AMITRIPTILINA 25 MG CP (C1),EMS,CP,CX C/ 30 CP,30,17896004727776
1576,AMITRIPTILINA 25 MG CP (C1) VP,EMS,CP,CX C/ 30 CP,30,7896004727776
1273,AMOXICILINA + CLAVULANATO 1.2 G PO INJ,EUROFARMA,FA,CX C/ 10 FA,10,7891317003371
2462,AMOXICILINA + CLAVULANATO 625 MG CP,EMS,CP,CX C/ 12 CP,12,7896004703404
2762,AMOXICILINA + CLAVULANATO 875+125 CP,EMS,CP,CX C/ 12 CP,12,7896004719580
2414,AMOXICILINA 50 MG PO SUS OR 60 ML,PRATI DONADUZZI,FR,CX C/ 1 FR,1,4110927
142,AMOXICILINA 50 MG/ML PO SUSP OR 150 ML,EMS,FR,CX C/ 1 FR,1,7896004700458
140,AMOXICILINA 500 MG CP,EMS,CS,CX C/ 30 CS,30,7896004718996
3000,AMOXICILINA 500 MG CP,GERMED,CS,CX C/ 15 CS,15,7896004702247
3011,AMOXICILINA 500 MG CP,EMS,CS,CX C/ 15 CS,15,7896004700441
2776,AMOXICILINA 500 MG CP,EMS,CS,CX C/ 21 CS,21,7896004700427
493,AMOXICILINA 500 MG CP,AUROBINDO,CS,CX C/ 21 CS,21,7898361880972
1863,AMOXICILINA+ CLAVULANATO 1G CP VP,EMS,CP,CX C/ 14 CP,14,7896004719597
2581,"AMOXICILINA+CLAVULANATO 1,2G PO INJ",AUROBINDO,FA,CX C/ 10 FA,10,7898361880514
1349,AMOXICILINA+CLAVULANATO 500  MG CP,EMS,CP,CX C/ 18 CP,18,7896004703411
133,"AMOXICILINA+CLAVULANATO 62,5MG/ML PO SUS",EMS,FR,CX C/ 1 FR,1,7896004703428
2585,AMPICILINA SÓDICA 1G PO INJ,AUROBINDO,FA,CX C/ 50 FA,50,7898361880743
2690,"AMPICILINA+ SULBACTAM 1,5 G  PO INJ ",AUROBINDO,FA,CX C/ 10 FA,10,7898924600689
1358,AMPICILINA+ SULBACTAM 3G PO INJ,AUROBINDO,UN,CX C/ 20 FA,20,7898361881665
419,"AMPICILINA+SULBACTAM 1,5G PO INJ",NOVAFARMA,FA,CX C/ 20 FA,20,7899498608521
422,AMPICILINA+SULBACTAM 3G PO INJ,NOVAFARMA,FA,CX C/ 20 FA,20,7899498608538
1503,AMPLOSPEC 1G PO INJ,BIOCHIMICO,FA,CX C/ 50 FA,50,7897406111156
1131,ANASTROZOL 1 MG CP,EUROFARMA ONCO,CP,CX C/ 30 CP,30,7891317458850
3337,ANASTROZOL 1 MG CP,SANDOZ,CP,CX C/ 30 CP,30,7897595633927
14,ANFORICIN B 50 MG PO LIOF INJ C/DIL VP,CRISTALIA,FA,CX C/ 25 FA,25,7896676408140
148,ANLODIPINO 10 MG CP,EMS,CP,CX C/ 30 CP,30,7896004703312
3545,ANLODIPINO 10 MG CP VP,HYPERA,CP,CX C/ 30 CP,30,7896714211312
3553,ANLODIPINO 5  MG CP,NEO QUIMICA,CP,CX C/ 30 CP,30,17896714211305
3578,ANLODIPINO 5  MG CP VP,NEO QUIMICA,CP,CX C/ 30 CP,30,7896714211305
925,ANLODIPINO 5 MG CP,EMS,CP,CX C/ 30 CP,30,7896004703305
1540,ANNITA 20 MG/ML PO ORAL 100 ML,FQM,UN,CX C/ 1 FR,1,17898040321505
1541,ANNITA 20 MG/ML PO ORAL 100 ML VP,FQM,FR,CX C/ 1 FR,1,7898040321505
3537,ANNITA 20 MG/ML PO ORAL 45 ML C/SER,FQM,FR,CX C/ 1 FR,1,17898040321420
1505,ANNITA 20 MG/ML PO ORAL 45 ML C/SER VP,FQM,FR,CX C/ 1 FR,1,7898040321420
1470,ANNITA 500 MG CP,FQM,CP,CX C/ 6 CP,6,17898040321512
2790,ANNITA 500 MG CP VP,FQM,CP,CX C/ 6 CP,6,7898040321512
143,ANTIVIRAX 200 MG CP,EMS,CP,CX C/ 25 CP,25,7896004733456
709,APARELHO DE BARBEAR,MAXICOR,PT,PT C/ 5 UN,5,7898931988022
2827,ARADOIS 25MG,BIOLAB,CP,CX C/ 60 CP,60,7896241241462
65,ARAMIN 10 MG/ML INJ 1 ML VP,CRISTALIA,AP,CX C/ 25 AP,25,7896676432046
135,ARAZABI 1 MG CP,EMS,CP,CX C/ 30 CP,30,7896004755229
204,ARICILINA 5.000.000 UI PO INJ,BLAU,FA,CX C/ 50 FA,50,7896014686438
2597,ARISCORTEN 100 MG PO INJ,BLAU,FA,CX C/ 50 FA,50,7896014688432
3268,ARISCORTEN 500 MG PO INJ,BLAU,FA,CX C/ 50 FA,50,7896014688456
258,ARISROPRAMIDA 5 MG/ML INJ 2ML,BLAU,AP,CX C/ 100 AP,100,7896014688500
345,"ARIXTRA 7,5 MG/0,6ML INJ C/SER",ASPEN PHARMA,SR,CX C/ 2 SR,2,7895858016432
217,ARTRINID 100 MG PO LIOF INJ,UNIAO QUIMICA,FA,CX C/ 50 FA,50,7896006252160
1448,ARTRINID 50 MG CP,UNIAO QUIMICA,CS,CX C/ 24 CS,24,7896006210245
218,ARTRINID 50 MG/ML 2 ML INJ,UNIAO QUIMICA,AP,CX C/ 50 AP,50,7896006213543
1038,ARTRODAR 50 MG CP,TRB PHARMA,CS,CX C/ 30 CS,30,7896281152018
1960,ASTRO IV 500 MG PO LIOF INJ,EUROFARMA,FA,CX C/ 10 FA ,10,7891317010072
2029,"ATADURA CREPOM 06X1,8M 13F (EDUARDA)",AMERICA,UN,PT C/ 12 UN,12,7890000003414
2027,"ATADURA CREPOM 08X1,8M 13F (EDUARDA)",AMERICA,PC,PT C/ 12 UN,12,7898488471374
767,"ATADURA CREPOM 08X1,8M 13F (EUROPA)",POLARFIX,PT,PT C/ 12 UN,12,7898010920158
565,"ATADURA CREPOM 10X1,8M 13F (EDUARDA)",AMERICA,PT,PT C/ 12 UN,12,7898488471275
2025,"ATADURA CREPOM 12X1,8M 13F (EDUARDA)",AMERICA,UN,PT C/ 12 UN,12,7898488471398
3504,"ATADURA CREPOM 15 CM X 1,8 M (EUROPA)",POLARFIX,UN,PC/ 1,1,7898010920196
