CODIGO,EAN
1396,7896548138281
1397,7896548138281
1398,7896548138281
1399,7896548138281
1400,7896548138281
1401,7896548138281
1402,7896548138281
1403,7896548138281
1404,7896548138281
1405,142536142536
1406,7896548138281
1407,7896548138281
1408,7896261006898
1409,7896548138281
1410,7896548138281
1411,7896548138281
1413,7896548138281
1414,7896548138281
1415,7896548138281
1416,7896548138281
1417,7896548138281
1418,7896548138281
1419,7896548138281
1420,7896548138281
1421,7896548138281
1422,7896548138281
1423,7896548138281
1424,7896548138281
1425,7896548138281
1426,7896548138281
1427,7896548138281
1428,7896548138281
1429,7896548138281
1430,7896548138281
1431,7896548138281
1432,7896548138281
1433,7896548138281
1434,7896548138281
1435,7896548138281
1436,5000456027885
1437,5000456027878
1438,5000456011624
1439,5000456011617
1440,5000456009966
1441,7896206402938
1442,5000456028523
1443,7895858009366
1444,7895858016845
1445,7895858016852
1446,7898029557154
1447,7896672202681
1448,7895858016913
1449,1262017
1450,7891721021220
1451,5000456027786
1452,7898029558809
1453,7898029552203
1454,7895858016951
1455,7898029557147
1456,7896672201790
1457,7896672202124
1458,7898040321420
1459,7898040321512
1460,7898040321505
1461,7898040321499
1462,7898040323141
1463,7898040320942
1464,7898040320874
1465,7898040320928
1466,7898040324223
1467,7898040322717
1468,7898040323806
1469,7898040323844
1470,7898040325114
1471,7898040320973
1472,7896261020863
1473,7613326002486
1474,7895858005849
1475,7896206402990
1476,7898029552128
1477,7898029551770
1478,7898029557123
1479,7896672202872
1480,7896672201950
1483,7898040321284
1484,7898040323127
1485,5000456031998
1486,7898029556829
1487,7898029551787
1488,7896637023047
1489,7896902212190
1490,7896230304536
1491,7898328480139
1492,7891058003203
1493,7896070605268
1494,7891058003241
1495,7891058003272
1496,7891058003302
1497,7891058021306
1498,7897595903785
1499,7897595903792
1500,7891058012946
1501,7891058009205
1502,7891058025137
1503,7891058003029
1504,7891058077464
1505,7891058077419
1506,7891058012960
1507,7891058012977
1508,7895858016968
1509,17898157726986
1510,7613326017916
1511,-1
1512,7895858013103
1513,7891058226718
1514,7891058021948
1515,7896548139585
1517,5000456027984
1518,7898040323271
1519,7898902274734
1520,7898902274383
1521,7898902274390
1522,7898902274413
1523,1553700110011
1524,7898902274529
1525,7898902274536
1526,7898902274543
1527,7898902274598
1528,7898902274789
1529,7898902274802
1530,7898902274819
1531,7898932797012
1532,7898932797036
1533,7898577810510
1534,7898577810541
1535,7896672203336
1536,7896014686100
1537,7896014686117
1538,7896014686124
1539,7895858007348
1540,7898361700270
1541,7896727869999
1542,7891058019747
1544,433376100000
1545,906671100000
1546,908071000000
1547,950001000000
1548,422270100000
1549,906471100000
1550,950001000001
1551,950001000002
1552,950001000003
1553,422270100001
1554,908071000011
1555,280022000000
1556,280021000000
1557,280024000000
1558,7895858013097
1560,7898040323288
1561,7891058017026
1562,7891058017033
1563,2595100000000
1564,7892953000717
1565,7892953200247
1566,7892953000496
1567,7892953201732
1568,7892953102916
1570,40361240086421
1571,422270300000
1572,87654321
1573,87654311
1574,87654111
1575,7892953203415
1576,7891106911344
1577,7892953203422
1578,422270120000
1579,7896226501711
1580,7898576550103
1581,7896637025225
1582,7896672203572
1583,7896672203589
1584,5000456027977
1586,7891106908184
1588,7891106908191
1589,7896672202902
1590,7895197160063
1591,7896206402914
1592,78966722029021
1593,7896206402761
1594,5000456028561
1596,7896206402961
1597,789620640291
1598,7896206402931
1599,7895197160032
