CODIGO_INTERNO;CODIGO_BARRAS;REGISTRO_ANVISA;NOME_COMERCIAL;APRESENTACAO;MARCA;TIPO_EMBALAGEM;QT_EMBALAGEM
15;7898166040328;1108500110066;AGUA PARA INJEÇAO 10 ML FA (S);AGUA PARA INJEÇAO IV 10 ML;FARMACE;CX C/200 FA;200
16;7898148292943;1256800290041;ALBENDAZOL 40 MG/ML 10 ML FR (G);ALBENDAZOL 40 MG/ML 10 ML;PRATI DONADUZZI;CX C/200 FR;200
17;7893454213118;1044001570030;ENDROSTAN 70 MG CP (S);"ALENDRONATO DE SÓDIO 70 MG CP
";CELLERA;CX C/4 CP;4
18;7898505091509;1779400060013;PREGNOLAN 150/10 MG/ML 1 ML AMP (S);"ALGESTONA ACETOFENIDA + ENANTATO DE ESTRADIOL 150/10 MG/ML AMP 1ML

";MABRA;CX C/1 AMP;1
1939;7896004713625;1058308650015;ALGEST + ESTRAD 150/10 MG/ML 1 ML AMP(G);"ALGESTONA ACETOFENIDA + ENANTATO DE ESTRADIOL 150/10 MG/ML AMP 1ML

";GERMED;CX C/1 AMP;1
23;7896004710860;1023506750285;AMILO+ HIDROCLOROTIAZI 2,5/25 MG CP (G);CLORIDRATO DE AMILORIDA + HIDROCLOROTIAZIDA 2,5/25 MG VO CP;EMS;CX C/30 CP;30
1925;7897947706569;1004101070150;SOL GLICOSE 10% SIST FECHADO 250 ML  ;"SOLUÇÃO GLICOSE 100 MG/ML SISTEMA FECHADO IV FRASCO 250 ML


";FRESENIUS KABI;CX C/48 FR;48
87;7896112426646;1097400460023;EPILENIL 250 MG CP (S) (C1);"ACIDO VALPROICO 250 MG VO CP 
(C1)";BIOLAB;CX C/25 CP;25
89;7896112132264;1037002910041;CLOCEF 1G IM/IV PO/INJ FA (S);CLORIDRATO DE CEFEPIMA1 G IM/IV PO S/DIL P/INJ FA;TEUTO;CX C/50 FA;50
90;7896112128595;1037002910051;CLOCEF 2G IM/IV PO/INJ FA (S);CLORIDRATO DE CEFEPIMA 2G IM/IV PO S/DIL  P/INJ FA;TEUTO;CX C/50 FA;50
1941;7896727841100;1031100132052;SOL GLICOSE 5% SIST FECHADO 250 ML BOLSA;"SOLUÇÃO GLICOSE 50 MG/ML SISTEMA FECHADO IV BOLSA 250 ML


";HALEX ISTAR;CX C/50 BOLS;50
1942;7896727841124;1031100132079;SOL GLICOSE 5% SIS FECHADO 1000 ML BOLSA;"SOLUÇÃO GLICOSE 50 MG/ML SISTEMA FECHADO IV BOLSA 1000 ML


";HALEX ISTAR;CX C/15 BOLS;15
63;17898917593513;1624100150031;BROMOPRIDA 4 MG/ML 20 ML FR (G);BROMOPRIDA 4 MG/ML 20 ML VO FR;MARIOL;CX C/96 FR;96
1911;7898470683594;1134301950020;CETOPROFENO 50 MG/ML IM 2 ML AMP (G);CETOPROFENO 50 MG/ML SOL/INJ IM 2 ML AMP;HIPOLABOR;CX C/100 AMP;100
1896;7898633381435;ISEN 24/2010;POLIMAIS POLIVITAMINICO AZ CAP ;"SUPLEMENO DE VITAMINA + MINERAIS. COMPOSIÇÃO: PALMITATO DE RETINOL (VIT. A) 600 MCG; TIAMINA (VIT. B1) 1,2 MG; RIBOFLAVINA (VIT. B2) 1,3 MG; NIACINA (VIT. B3) 16 MG; ACIDO PANTOTENICO (VIT. B5) 5 MG; PIDIROXINA (VIT. B6) 1,3 MG; BIOTINA (VIT. B8) 30 MCG; ACIDO ASCORBICO (VIT. C) 45 MG; COLECANCIFEROL (VIT. D) 200 UI; TOCOFEROL (VIT. E) 10 MG; VITAMINA K 65 MCG; CARBONATO DE CALCIO (CALCIO) 100 MG; SULFATO FERROSO (FERRO) 10 MG; OXIDO DE MAGNESIO(MAGNESIO) 50 MG


";NUTRIEX;FR C/120 CP;120
130;7898148294794;1256800320143;IONCLOR 60 MG/ML 100 ML FR (S);CLORETO DE POTÁSSIO 60 MG/ML 100 ML FR;PRATI DONADUZZI;CX C/50 FR;50
1902;7899095238619;1542301990347;OXALA DE ESCITALOPRAM 20 MG CP (G)(C1);OXALATO DE ESCITALOPRAM 20 MG VO CP;GEOLAB;CX C/30 CP;30
135;7898158693709;1156001580024;VARICOSS 15/90 MG CP (S);CUMARINA + TROXERRUTINA 15/90 MG VO CP;CIFARMA;CX C/60 CP;60
139;7891721024481;1008903780020;DEXA - CITONEURIN 3 + 3 AMP (S);CIANOCOBALAMINA + CLOR. PIRIDOXINA + TIAMINA + DEXAMETASONA  3+3 AMP;MERCK;CX C/3 AMP;3
140;7896112151982;1037002870120;DEXAMETASONA 4 MG/ML 2,5 ML AMP (G);FOSFATO DISSODICO DE DEXAMETASONA  4 MG/ML SOL/INJ IM/IV 2,5 ML AMP;TEUTO;CX C/120 AMP;120
141;7899095210172;1542300120020;HYSTIN 2MG CP (S);MALEATO DE DEXCLORFENIRAMINA 2 MG VO CP;GEOLAB;CX C/500 CP;500
147;7899095210714;1542300260078;POLTAX 50MG CP (S);DICLOFENACO POTASSICO 50 MG CP ;GEOLAB;CX C/500 CP;500
148;7896523209753;1438100100072;PROBENXIL 50MG CP (S);DICLOFENACO POTASSICO 50 MG VO CP ;CIMED;CX C/500 CP;500
150;7898216361601;1410700590021;DIGOXINA 0,25 MG CP (G);DIGOXINA 0,25 MG VO CP;PHARLAB;CX C/500 CP;500
151;7896112113928;1037002540090;CORDIL 60MG CP (S);CLORIDRATO DE DILTIAZEM 60 MG VO CP;TEUTO;CX C/50 CP;50
153;7898158692139;1156000780046;NAUSILON B6 25/5MG/ML 20ML (S);DIMENIDRINATO + CLORIDRATO DE PIRIDOXINA 25/5 MG 20 ML VO FR;CIFARMA;FR C/20 ML;1
155;7898404220147;1018600120021;SANTIDOR 500 MG/ML SOL/INJ 2 ML AMP (S);DIPIRONA SODICA 500 MG/ML SOL/INJ IM/IV 2 ML AMP;SANTISA;CX C/100 AMP;100
156;7896112126584;1037004700052;DIPIRONA 500MG/ML 2 ML AMP (G);DIPIRONA SODICA 500 MG/ML SOL/INJ IM/IV 2 ML AMP;TEUTO;CX C/120 AMP;120
159;7898148294121;1256800410029;DIPIRONA SODICA 500 MG CP (G);DIPIRONA SODICA 500 MG VO CP;PRATI DONADUZZI;CX C/500 CP;500
163;7896014688111;1163700850015;DOBUTARISTON 12,5MG/ML IV 20 ML AMP (S);CLORIDRATO DE DOBUTAMINA 12,5 MG/ML SOL/INJ IV 20 ML AMP;BLAU FARMAC.;CX C/20 AMP;20
100;7898361881511;1516700130016;CEFUROXIMA SOD 750 MG PO IM/IV FA  (G);"CEFUROXIMA SODICA 750 MG PO/INJ IM/IV S/DIL FA

";AUROBINDO;CX C/25 FA;25
95;7897406111156;1006300030058;AMPLOSPEC 1G PO/INJ IV FA (S);CEFTRIAXONA DISSODICA 1G PÓ/INJ IV S/DIL F/A;BIOCHIMICO;CX C/50 FA;50
109;7891317435936;1004309920025;CILOSTAZOL 50 MG CP (G);CILOSTAZOL 50 MG VO CP;EUROFARMA;CX C/30 CP;30
111;7898505090236;1779400070019;FERANE 35 CP (S);ACETATO DE CIPROTERONA + ETINILESTRADIOL 2/0,035 MG VO CP;MABRA;CX C/21 CP;21
226;7896862917616;1091700640028;GLICONIL 5 MG CP (S);GLIBENCLAMIDA 5 MG VO CP;MEDQUIMICA;CX C/500 CP;500
166;7896112159285;1037005290036;DORZOLAMINA+TIMOLOL 2/0,5% 5 ML (G);CLORIDRATO DE DORZOLAMINA + MALEATO DE TIMOLOL 2/0,5% 5 ML FR ;TEUTO;FR C/ 5ML;1
177;7895805090304;1779400030017;NOREGYNA 50+5 MG/ML IM 1 ML AMP (S);ENANTATO DE NORETISTERONA + VAL. ESTRADIOL 50+5 MG/ML IM 1 ML AMP;MABRA;CX C/1 AMP;1
178;7896014670888;1163700710167;ENOXALOW 20 MG/ ML IV 0,2 ML SER SEG (S);ENOXAPARINA SÓDICA 20 MG /0,2 ML IV SER. PREENCHIDA SIST. SEGURANÇA;BLAU FARMAC.;CX C/10 SER;10
179;7896014670895;1163700710175;ENOXALOW 40 MG/ ML IV 0,4 ML SER SEG (S);ENOXAPARINA SÓDICA 40 MG /0,4 ML IV SER. PREENCHIDA SIST. SEGURANÇA;BLAU FARMAC.;CX C/10 SER;10
180;7896014670901;1163700710183;ENOXALOW 60 MG/ ML IV 0,6 ML SER SEG (S);ENOXAPARINA SÓDICA 60 MG /0,6 ML IV SER. PREENCHIDA SIST. SEGURANÇA;BLAU FARMAC.;CX C/10 SER;10
181;7896014670918;1163700710191;ENOXALOW 80 MG/ ML IV 0,8 ML SER SEG (S);ENOXAPARINA SÓDICA 80 MG /0,8 ML IV SER. PREENCHIDA SIST. SEGURANÇA;BLAU FARMAC.;CX C/10 SER;10
209;7896112190677;1037002770037;FUROSEMIDA 10MG/ML IM/IV 2 ML AMP (G);FUROSEMIDA 10 MG/ML SOL/INJ IM/IV 2 ML AMP;TEUTO;CX C/60 AMP;60
210;7898123902546;1134301530031;FUROSEMIDA 40MG CP (G);FUROSEMIDA 40 MG VO CP ;HIPOLABOR;CX C/500 CP;500
214;7896004709680;1058303340018;GENFIBROZILA 600MG CP (G);GENFIBROZILA 600 MG VO CP ;GERMED;CX C/24 CP;24
234;7896523211039;1438101460031;GLIMEPIRIDA 2 MG CP (G);GLIMEPIRIDA 2 MG VO CP;CIMED;CX C/450 CP;450
185;7895858002381;1376400400043;ALDOSTERIN 25MG CP (S);ESPIRONOLACTONA 25 MG VO CP;ASPEN PHARMA;CX C/200 CP;200
1901;7899095237254;1542302060017;ESCITALOPRAM 20 MG/ML 15 ML FR (G) (C1);OXALATO DE ESCITALOPRAM 20 MG/ML 15 ML VO FR (C1);GEOLAB;FR C/15 ML;1
188;7898505091370;1779400080022;MENOPRIN 0,625 MG CP (S);ESTROGENIOS CONJUGADOS 0,625 MG VO CP ;MABRA;CX C/28 CP;28
193;7896014684007;1163700580018;FILGRAST 300 MCG IV/SC (2 A 8°C) 1ML (S);FILGRASTIM 300 MCG (2 A 8°C) SOL/INJ IV/SC 1 ML F/A ;BLAU FARMAC.;AMP C/1 ML;1
1887;7896676411096;1029803200033;CETOPROFENO 100 MG PO/INJ IV FA (G);CETOPROFENO 100 MG PÓ/INJ IV S/DIL 2ML F/A;CRISTALIA;CX C/50 FA;50
223;7896523206479;1438100670065;GINKOMED 80 MG CP (S);GINKGO BILOBA 80 MG VO CP;CIMED;CX C/30 CP;30
267;7899032201690;80560310002;LANCETAS STERILANCE 28 G SOFT SIMP ;LANCETAS STERILANCE 28 G SOFT SIMPLES ;STERILANCE SOF;CX C/100 UN;100
221;7898505090281;1779400040012;FERTNON 0,075/0,030 MG CP (S);GESTODENO + ETINILESTRADIOL 0,075/0,030 MG VO CP;MABRA;CX C/21 CP;21
1882;7897947706484;1004100980099;CLORETO DE SODIO 0,9% SIST FECHAD 250 ML;"SOLUÇÃO DE CLORETO DE SÓDIO 9 MG/ML  SISTEMA FECHADO IV FRASCO 250 ML


";FRESENIUS KABI;CX C/48 FR;48
279;7891721020094;1008903550319;LEVOTIROXINA SÓDICA 125 MCG (HOSP) CP(G);LEVOTIROXINA SODICA 125 MCG VO CP;MERCK;CX C/30 CP;30
280;7891721020148;1008903550191;LEVOTIROXINA SÓDICA 150 MCG (HOSP) CP(G);LEVOTIROXINA SODICA 150 MCG VO CP;MERCK;CX C/30 CP;30
1897;7898947017464;ISEN 24/2010;POLIMAIS SUPL VITAMINICO GTS 30 ML FR;"SUPLEMENTO ALIMENTAR/VITAMINICO GOTAS 30 ML VO FR. COMPOSIÇÃO DOSE EM 2,5 ML/50 GOTAS: PALMITATO DE RETINOL (VIT. A) 600 MCG; TIAMINA (VIT. B1) 1,2 MG; RIBOFLAVINA (VIT. B2) 1,3 MG; NIACINA (VIT. B3) 16 MG; ACIDO PANTOTENICO (VIT. B5) 5 MG; PIRIDOXINA (VIT. B6) 1,3 MG; BIOTINA (VIT. B8) 30 MCG; ACIDO FOLICO (VIT. B9) 0,24 MG; ACIDO ASCORBICO (VIT. C) 45 MG; CALCIFEROL (VIT. D) 5 MCG; TOCOFEROL (VIT. E) 10 MG ";NUTRIEX;CX C/12 FR;12
284;7891721019890;1008903550262;LEVOTIROXINA SÓDICA 75 MCG (HOSP) CP (G);LEVOTIROXINA SODICA 75 MCG VO CP;MERCK;CX C/30 CP;30
285;7891721019944;1008903920663;LEVOTIROXINA SÓDICA 88 MCG (HOSP) CP (G);LEVOTIROXINA SODICA 88 MCG VO CP;MERCK;CX C/30 CP;30
239;7896862918613;1091700930042;HIDROCLOROTIAZIDA 25 MG CP (G);HIDROCLOROTIAZIDA 25 MG VO CP;MEDQUIMICA;CX C/500 CP;500
1919;7898133131349;1384100020084;MAXALGINA 50 MG/ML 100 ML FR (S);DIPIRONA SODICA MONOIDRATADA 50 MG/ML 100 ML VO FR;NATULAB;CX C/50 FR;50
270;7898927562403;1565100300024;LEVOFLOXACINO 500 MG CP (G);"LEVOFLOXACINO 500 MG VO
 CP";ZYDUS;CX C/7 CP;7
283;7891721028595;1008902020642;EUTHYROX 50 MCG CP (S);LEVOTIROXINA SÓDICA 50 MCG VO CP;MERCK;CX C/50 CP;50
245;7898148295173;1256801610031;IBUPROFENO 600 MG CP (G);IBUPROFENO 600 MG VO CP (50 BLISTERS C/10 CP);PRATI DONADUZZI;CX C/500 CP;500
272;7898505091356;1779400020021;CICLOFEMME 0,15/0,03 MG CP (S);LEVONORGESTREL + ETINILESTRADIOL 0,15/0,03 MG VO CP;MABRA;CX C/1050 CP;1050
273;7891721028601;1008902020707;EUTHYROX 100 MCG CP (S);LEVOTIROXINA SODICA 100 MCG VO CP;MERCK;CX C/50 CP;50
274;7891721028588;1008902020618;EUTHYROX 25 MCG CP (S);LEVOTIROXINA SODICA 25 MCG VO CP;MERCK;CX C/50 CP;50
1912;7898470681347;1134301780028;MICONAZOL 20 MG/G 28 G CREM DERM BIS (G);NITRATO DE MICONAZOL 20 MG/G 28 G CREME DERMATOLOGICO BIS;HIPOLABOR;CX C/50 BIS;50
238;7896112165668;1037006090049;HIDROCLOROTIAZIDA 25 MG CP (G);HIDROCLOROTIAZIDA 25 MG VO CP ;TEUTO;CX C/300 CP;300
80;7898910350239;1565100150014;LOSARTANA POTASSICA 50 MG CP (G);"LOSARTANA POTASSICA 50 MG VO CP
";ZYDUS;CX C/30 CP;30
342;7899095210516;1542300190126;OMENAX 20 MG CAP (S);OMEPRAZOL 20 MG VO CAP;GEOLAB;CX C/490 CA;490
1898;7898633381374;ISEN 27/2010;CALCINUTRI D 1250(EQ 500) MG/400 UI CP;CARBONATO DE CALCIO + COLECALCIFEROL 1250 (EQUIVALENTE A 500 MG DE CALCIO ELEMENTAR) MG/400 UI VO CP;NUTRIEX;FR C/120 CP;120
343;7896014688272;1163700960015;OPRAZON 40 MG PO/INJ IV 10 ML + DIL (S);OMEPRAZOL SÓDICO 40 MG PÓ/INJ IV C/DIL F/A;BLAU FARMAC.;CX C/20 FA;20
353;7898148295029;1256800500028;PARACETAMOL 500 MG CP (G);PARACETAMOL 500 MG VO CP;PRATI DONADUZZI;CX C/500 CP;500
354;7898910350147;1565100090011;PARACETAMOL 750 MG CP (G);PARACETAMOL 750 MG VO CP;ZYDUS;CX C/200 CP;200
358;7898361886073;1516700240075;PIPERACILINA + TAZOBAC 4G/500 MG FA (G);PIPERACILINA SODICA + TAZOBACTAM 4 G/500 MG PÓ/INJ IV F/A;AUROBINDO;CX C/10 FA;10
1899;7898633381343;ISEN 27/2010;CALCINUTRI 1250 (EQ 500) MG  CP (S);CARBONATO DE CALCIO 1250 MG (EQUIVALENTE A 500 MG ELEMENTAR) VO CP;NUTRIEX;FR C/120 CP;120
1900;7899470805788;1384100190192;BUTALAB 0,4 MG/ML 100 ML FR (S);"SULFATO DE SALBUTAMOL 0,4 MG/ML 100 ML + COPO MEDIDOR

";NATULAB;CX C/50 FR;50
1873;7898166041547;1108500390115;CLOR AMBROXOL 3 MG/ML PED 120 ML FR (G);CLORIDRATO DE AMBROXOL 3 MG/ML PEDIATRICO 120 ML VO FR + COPO DOSADOR;FARMACE;CX C/60 FR;60
330;7896862917753;1091700450032;FLOXIMED 400 MG CP (S);NORFLOXACINO 400 MG VO CP;MEDQUIMICA;CX C/420 CP;420
337;7898947017150;80451960191;DERMAEX ALMOTOLIA 100 ML FR ;ACIDOS GRAXOS ESSENCIAIS/ OLEO CICATRIZANTE/ALMOTOLIA 100 ML FR;NUTRIEX;CX C/24 FR;24
286;7898216364961;1410700560082;LABCAINA 20 MG/G 30 G BIS (S);CLORIDRATO DE LIDOCAINA 20 MG/G 30 G BIS;PHARLAB;CX C/100 BIS;100
1874;7897848502895;1476100110100;PERMENATI 50 MG/ML 60 ML FR (S);PERMETRINA 50 MG/ML 60 ML LOCAO FR;NATIVITA;CX C/50 FR;50
291;7899547505283;1256802020074;LOSARTANA POTASSICA 100 MG CP (G);LOSARTANA POTASSICA 100 MG VO CP ;PRATI DONADUZZI;CX C/300 CP;300
292;7899547505276;1256802020031;LOSARTANA POTASSICA 50 MG CP (G);LOSARTANA POTASSICA 50 MG VO CP ;PRATI DONADUZZI;CX C/300 CP;300
1880;7896112419648;1097401240051;FLAVENOS 500 CP (S);DIOSMINA + HESPERIDINA 450/50 MG VO CP;BIOLAB;CX C/60 CP;60
295;7894916502900;1058302200034;CONTRACEP 150 MG/ML 1ML AMP (S);ACETATO DE MEDROXIPROGESTERONA 150 MG/ML IM 1 ML AMP ;EMS SIGMA;AMP C/1 ML;1
300;7898148291304;1256801510027;CLOR DE METFORMINA 850 MG CP (G);CLORIDRATO DE METFORMINA 850MG VO CP;PRATI DONADUZZI;CX C/200 CP;200
1881;7897947706491;1004100980102;CLORETO DE SODIO 0,9% SIST FECHAD 500 ML;"SOLUÇÃO DE CLORETO DE SÓDIO 9 MG/ML  SISTEMA FECHADO IV FRASCO 500 ML


";FRESENIUS KABI;CX C/30 FR;30
303;7891721029745;1008902750039;CLOR DE METFORMINA 500 MG CP (G);CLORIDRATO DE METFORMINA 500 MG VO CP;MERCK;CX C/60 CP;60
309;17898917592370;1624100040031;METOCLOPRAMIDA 4 MG/ML 10 ML FR (G) ;CLORIDRATO DE METOCLOPRAMIDA 4 MG/ML 10 ML VO FR;MARIOL;CX C/96 FR;96
310;7896014669028;1163700330062;METREXATO 2.5 MG CP (S);METOTREXATO 2.5 MG VO CP;BLAU FARMAC.;CX C/24 CP;24
314;7898910350437;1565100080032;MONO DE ISOSSORBIDA 20 MG CP (G);MONONITRATO DE ISOSSORBIDA 20 MG VO CP;ZYDUS;CX C/100 CP;100
316;7898940658077;1565100350021;MONTELUCASTE DE SODIO 10 MG CP (G);MONTELUCASTE DE SODIO 10 MG VO CP;ZYDUS;CX C/30 CP;30
384;7896862918101;1091700750044;CLOR DE RANITIDINA 150 MG CP (G);CLORIDRATO DE RANITIDINA 150 MG VO CP;MEDQUIMICA;CX C/300 CP;300
396;7898158692238;1156000980029;FLORENT 200 MG SACHES (S);SACCHAROMYCES BOULARDII 200 MG VO SH;CIFARMA;CX C/4 SACHE;4
398;7898148296064;1256801720110;SECNIDAZOL 1000 MG CP (G);SECNIDAZOL 1000 MG VO CP;PRATI DONADUZZI;CX C/100 CP;100
387;7896004728667;1023509740035;RISEDRONATO SODICO 35 MG CP;RISEDRONATO SODICO 35 MG VO CP ;EMS;CX C/4 CP;4
395;7898158692221;1156000980010;FLORENT 100 MG CAP (S);SACCHAROMYCES BOULARDII 100 MG VO CP;CIFARMA;CX C/12 CAP;12
418;7898148291496;1256801280064;NEOM 5 MG + BACI 250 UI/G 10 G BIS (G);SULFATO DE NEOMICINA 5 MG/G + BACITRACINA ZÍNCICA 250 UI/G 10 G BIS;PRATI DONADUZZI;CX C/200 BIS;200
421;7899095234192;1542301820018;CLOR DE TANSULOSINA 0,4 MG CAP (G);CLORIDRATO DE TANSULOSINA 0,4 MG VO CAP;GEOLAB;CX C/20 CAP;20
423;7896472511051;1181901670012;TARTARATO DE METOPROLOL 100 MG CP (G);TARTARATO DE METOPROLOL 100 MG VO CP;MULTILAB;CX C/30 CP;30
426;7896241231630;1097401930031;TAPAZOL 10 MG CP (E);TIAMAZOL 10 MG VO CP;BIOLAB;CX C/50 CP;50
427;7896241231616;1097401930023;TAPAZOL 5 MG CP (E);TIAMAZOL 5 MG VO CP;BIOLAB;CX C/100 CP;100
429;7891721020506;1008900150441;CITONEURIN 100/100/5000 MG/ML 3+3AMP (E);CIANOCOBALAMINA + CLOR. PIRIDOXINA + TIAMINA 5.000 MCG/100/100 MG AMP;MERCK;CX C 3+3 AMP;3
372;7898569761448;1351700160050;CLOR DE PROPAFENONA 300 MG CP (G);CLORIDRATO DE PROPAFENONA 300 MG VO CP ;ALTHAIA;CX C/60 CP;60
373;7896241279908;1097400130015;PROPILRACIL 100 MG CP (S);PROPILTIOURACIL 100 MG VO CP;BIOLAB;CX C/30 CP;30
1908;7898123908845;1134301560036;TRAMADOL 50 MG 1 ML AMP (G) (A2);CLORIDRATO DE TRAMADOL 50 MG/ML SOL/INJ IM/IV 1 ML AMP (A2);HIPOLABOR;CX C/100 AMP;100
113;7898910350130;1565100110012;BROM DE CITALOPRAM 20 MG CP (G) (C1);BROMIDRATO DE CITALOPRAM 20 MG VO CP (C1);ZYDUS;CX C/30 CP;30
121;7899095249967;1542301750214;ZILEPAM 2 MG CP (S) (B1);CLONAZEPAM 2 MG VO CP (B1);GEOLAB;CX C/480 CP;480
1872;7897947706620;1004101220020;SOL MANITOL 20% 250 ML  ;"SOLUÇÃO MANITOL 200 MG/ML  SISTEMA FECHADO IV FRASCO 250 ML


";FRESENIUS KABI;CX C/48 FR;48
191;7896112114581;1037004730059;FENITOINA 100 MG CP (G) (C1);FENITOINA SODICA 100 MG VO CP (C1);TEUTO;CX C/100 CP;100
211;7899547514346;1256802380054;GABAPENTINA 300 MG CAP (G) (C1);GABAPENTINA 300 MG VO CP (C1);PRATI DONADUZZI;CX C/300 CAP;300
212;7899547514407;1256802380119;GABAPENTINA 400 MG CAP (G) (C1);GABAPENTINA 400 MG VO CAP (C1);PRATI DONADUZZI;CX C/300 CAP;300
1906;7896137123780;1071402130061;PROMETAZOL 25 MG/ML IM AMP 2 ML (S);CLORIDRATO DE PROMETAZINA 25 MG/ML SOL/INJ IM 2 ML AMP;SANVAL;CX C/100 AMP;100
1884;7896676431926;1029804480021;BETACRIS 5 MG (1 MG/ML) 5 ML AMP (S)  ;TARTARATO DE METOPROLOL 1 MG/ML 5 ML SOL INJ IV AMP;CRISTALIA;CX C/10 AMP;10
132;7898404220321;1018600190119;SANTIAZEPAM 10 MG CP (S) (B1);DIAZEPAM 10 MG VO CP (B1);SANTISA;CX C/1000 CP;1000
144;7898404220314;1018600190100;SANTIAZEPAM 5 MG CP (S) (B1);DIAZEPAM 5 MG VO CP (B1);SANTISA;CX C/1000 CP;1000
1885;7896676415445;1029803710031;HEMOFOL 5000 UI SC 0,25 ML AMP(S);HEPARINA SÓDICA 5000 UI SC 0,25 ML AMP;CRISTALIA;CX C/25 AMP;25
145;7898404220673;1018600300011;DIAZEPAM 10 MG 2ML AMP (G) (B1);DIAZEPAM 5MG/ML SOL/INJ IM/IV 2 ML AMP (B1);SANTISA;CX C/100 AMP;100
160;7898927562052;1565100280015;DIVALPROATO DE SODIO 250 MG CP (G) (C1);DIVALPROATO DE SODIO 250 MG VO CP (C1);ZYDUS;CX C/20 CP;20
161;7898927562069;1565100280023;DIVALPROATO DE SODIO 500 MG CP (G) (C1);DIVALPROATO DE SODIO 500 MG VO CP (C1);ZYDUS;CX C/20 CP;20
170;7896004747774;1023510880082;CLOR DE DULOXETINA 60 MG CP (G) (C1);CLORIDRATO DE DULOXETINA  60 MG VO CP (C1);EMS;CX C/30 CP;30
356;7898910350024;1565100050011;CLOR DE PAROXETINA 20 MG CP (G) (C1);CLORIDRATO DE PAROXETINA 20 MG VO CP (C1);ZYDUS;CX C/30 CP;30
116;7896112168492;1037006330104;ROPIVACAINA 10 MG/ML 20 ML (G) (C1);CLORIDRATO DE ROPIVACAINA 10 MG/ML SOL/INJ IV 20 ML AMP (C1);TEUTO;CX C/5 AMP;5
120;8902344341226;1427700030045;PROVIVE 1% 10 MG/ML IV AMP (S) (C1);PROPOFOL 10 MG/ML EMULSÃO/INJ IV 20 ML AMP;UNIAO QUIMICA;CX C/5 AMP;5
125;7896112135401;1037006110104;BROM DE CITALOPRAM 20 MG CP (G) (C1);BROMIDRATO DE CITALOPRAM 20 MG VO CP (C1);TEUTO;CX C/240 CP;240
143;7896112125051;1037001000092;BEPEBEN 1.200.000UI  PO/INJ IM FA (S);BENZILPENICILINA BENZATINA 1.200.000UI PÓ/INJ IM S/DIL FA;TEUTO;CX C/50 FA;50
