CODIGO_INTERNO;             EAN;             RMS;             NOME_COMERCIAL;             APRESENTACAO;             MARCA;             DESCRICAO;             UNIDADE;             PRD_QT_EQUIVALENTE
132          ;7896014686964;1163701100036;CEFARISTON                                        ;FRASCO-AMPOLA                 ;BLAU                          ;CEFALOTINA INJETAVEL 1G S/DILUENTE                                                                                                                                                                      ;FRASCO-AMPOLA                 ;100               
9237         ;7891899080012;80384550002  ;I - BAIXO RISCO                                   ;PACOTE                        ;MELHORMED                     ;COMPRESSA DE GAZE 7,5 X 7,5 CM 9 FIOS C/500 UNI                                                                                                                                                         ;PACOTE                        ;1                 
1166         ;7898470681965;1134301540027;GENERICO                                          ;FRASCO                        ;HIPOLABOR                     ;BROMETO DE N-BUTIL ESCOPOLAMINA+DIPIRONA GT 20ML (G)                                                                                                                                                    ;FRASCO                        ;200               
7153         ;7898133137167;1384100290464;OSTEOFIX                                          ;COMPRIMIDO                    ;NATULAB                       ;CARBONATO DE CALCIO 600MG+VITAMINA D 400U COMPRIMIDO                                                                                                                                                    ;COMPRIMIDO                    ;60                
4274         ;7898910350154;1565100100017;GENERICO                                          ;COMPRIMIDO                    ;ZYDUS                         ;SERTRALINA 50MG COMPRIMIDO (G) (C1)***                                                                                                                                                                  ;COMPRIMIDO                    ;30                
903          ;7898910350079;1565100080024;GENERICO                                          ;COMPRIMIDO                    ;ZYDUS                         ;MONONITRATO DE ISOSSORBIDA 40MG COMPRIMIDO (G)                                                                                                                                                          ;COMPRIMIDO                    ;20                
5747         ;7896523215174;1438102530201;LORATAMED                                         ;COMPRIMIDO                    ;CIMED                         ;LORATADINA 10MG COMPRIMIDO                                                                                                                                                                              ;COMPRIMIDO                    ;360               
8406         ;7896112192152;1037002990231;GENERICO                                          ;FRASCO-AMPOLA                 ;TEUTO                         ;AMPICILINA INJETAVEL 1,0GR IM/IV S/ DILUENTE (G)                                                                                                                                                        ;FRASCO-AMPOLA                 ;50                
10297        ;7897076921635;1235201430097;GENERICO                                          ;COMPRIMIDO                    ;RANBAXY                       ;CINARIZINA 75MG COMPRIMIDO (G)                                                                                                                                                                          ;COMPRIMIDO                    ;500               
11400        ;7898049796502;1039200650018;ALGY-FLANDERIL                                    ;COMPRIMIDO                    ;VITAMEDIC                     ;IBUPROFENO 300MG COMPRIMIDO                                                                                                                                                                             ;COMPRIMIDO                    ;20                
1796         ;7898910350130;1565100110012;GENERICO                                          ;COMPRIMIDO                    ;ZYDUS                         ;CITALOPRAM 20MG COMPRIMIDO (G) (C1)***                                                                                                                                                                  ;COMPRIMIDO                    ;30                
5221         ;7898283815052;10330660103  ;I - BAIXO RISCO                                   ;Unidade                       ;DESCARPACK                    ;SERINGA 5ML S/AG SLIP DESCARTAVEL                                                                                                                                                                       ;Unidade                       ;100               
10483        ;7897076921727;1235202070086;GENERICO                                          ;COMPRIMIDO                    ;RANBAXY                       ;CLOPIDOGREL 75MG COMPRIMIDO (G)                                                                                                                                                                         ;COMPRIMIDO                    ;1000              
10726        ;7899470805795;1384100190206;BUTALAB                                           ;FRASCO                        ;NATULAB                       ;SALBUTAMOL SUSPENSAO 0,4MG/ML 120ML                                                                                                                                                                     ;FRASCO                        ;50                
8628         ;7899470806006;1384100230275;BRONQTRAT                                         ;FRASCO                        ;NATULAB                       ;AMBROXOL XAROPE ADULTO 30MG/5ML 120ML                                                                                                                                                                   ;FRASCO                        ;50                
8661         ;7897076906090;1235202110071;GENERICO                                          ;COMPRIMIDO                    ;RANBAXY                       ;OXCARBAZEPINA 600MG COMPRIMIDO (G) (C1)***                                                                                                                                                              ;COMPRIMIDO                    ;30                
10497        ;7897076919595;1235202510051;GENERICO                                          ;COMPRIMIDO                    ;RANBAXY                       ;PREGABALINA 150 MG COMPRIMIDO (G) (C1)***                                                                                                                                                               ;COMPRIMIDO                    ;28                
7602         ;7896714203515;1558405890027;FLUXON                                            ;COMPRIMIDO                    ;HYPERMARCAS                   ;CINARIZINA 25MG COMPRIMIDO                                                                                                                                                                              ;COMPRIMIDO                    ;30                
5113         ;7896112132240;1037004470091;GENERICO                                          ;COMPRIMIDO                    ;TEUTO                         ;AMOXICILINA 500MG COMPRIMIDO (G)                                                                                                                                                                        ;COMPRIMIDO                    ;500               
9301         ;7898133134784;1384100220040;RIFOTRAT                                          ;FRASCO                        ;NATULAB                       ;RIFAMICINA SV SODICA 10MG/ML SPRAY 20ML                                                                                                                                                                 ;FRASCO                        ;20                
3346         ;7899095210431;1542300280036;NIOXIL                                            ;COMPRIMIDO                    ;GEOLAB                        ;NIFEDIPINO 10MG COMPRIMIDO                                                                                                                                                                              ;COMPRIMIDO                    ;450               
10377        ;7899470802299;1384100530015;ESPINHEIRA SANTA                                  ;CÁPSULA                       ;NATULAB                       ;ESPINHEIRA SANTA 380MG                                                                                                                                                                                  ;CÁPSULA                       ;45                
10958        ;7896112114192;1037005070044;GENERICO                                          ;AMPOLA                        ;TEUTO                         ;FENITOINA INJETAVEL 50MG/ML 5ML (G) (C1)***                                                                                                                                                             ;AMPOLA                        ;72                
8977         ;7896676428841;1029800810159;FENTANEST                                         ;FRASCO-AMPOLA                 ;CRISTALIA                     ;FENTANILA 0,05MG/ML 10ML  INJETAVEL (A1)***                                                                                                                                                             ;FRASCO-AMPOLA                 ;25                
11618        ;7899547522716;1256802990103;GENERICO                                          ;COMPRIMIDO                    ;PRATI DONADUZZI               ;DOXAZOSINA 2MG COMPRIMIDO (G)                                                                                                                                                                           ;COMPRIMIDO                    ;30                
11836        ;7896523209104;1438101310046;GENERICO                                          ;FRASCO                        ;CIMED                         ;ACEBROFILINA 5MG/ML XAROPE INFANTIL 120ML (G)                                                                                                                                                           ;FRASCO                        ;50                
10518        ;7897848502482;1476100230041;GENERICO                                          ;POTE                          ;NATIVITA                      ;SULFADIAZINA DE PRATA CREME 10MG/GR 400GR (G)                                                                                                                                                           ;POTE                          ;1                 
11898        ;7898911244216;1556200190078;GENERICO                                          ;FRASCO-AMPOLA                 ;ABL                           ;MEROPENEM INJETAVEL 1GR IV PO S/DILUENTE (G)                                                                                                                                                            ;FRASCO-AMPOLA                 ;10                
3627         ;7898361700287;1517000210015;GENERICO                                          ;BOLSA                         ;HALEXISTAR                    ;METRONIDAZOL 0,5% INJETAVEL BOLSA 100ML (G)                                                                                                                                                             ;BOLSA                         ;1                 
9146         ;7896523212692;1438101770039;GENERICO                                          ;COMPRIMIDO                    ;CIMED                         ;NIMESULIDA 100MG COMPRIMIDO (G)                                                                                                                                                                         ;COMPRIMIDO                    ;600               
11000        ;7898179711024;ISENTO       ;GASTRIMEC COMPOSTO                                ;FRASCO                        ;IMEC                          ;HIDROXIDO DE ALUMINIO+MAGNESIO SUSPENSAO 100ML                                                                                                                                                          ;FRASCO                        ;50                
10012        ;7896676427028;1029804330021;GENERICO                                          ;FRASCO-AMPOLA                 ;CRISTALIA                     ;AZITROMICINA DI-HIDRATADA 500MG PO INJETAVEL IV (G)                                                                                                                                                     ;FRASCO-AMPOLA                 ;10                
11862        ;7896014682287;1163700780033;SUCCITRAT                                         ;FRASCO-AMPOLA                 ;BLAU                          ;SUXAMETONIO PO INJETAVEL 100MG                                                                                                                                                                          ;FRASCO-AMPOLA                 ;10                
695          ;7896676410938;1029802000103;RISPERIDON                                        ;COMPRIMIDO                    ;CRISTALIA                     ;RISPERIDONA 3MG COMPRIMIDO (C1)***                                                                                                                                                                      ;COMPRIMIDO                    ;200               
819          ;7896676410914;1029802000081;RISPERIDON                                        ;COMPRIMIDO                    ;CRISTALIA                     ;RISPERIDONA 1MG COMPRIMIDO (C1)***                                                                                                                                                                      ;COMPRIMIDO                    ;200               
114          ;7898123900023;1134300010016;ADREN                                             ;AMPOLA                        ;HIPOLABOR                     ;EPINEFRINA INJETAVEL 1000UI 1ML                                                                                                                                                                         ;AMPOLA                        ;100               
4849         ;7898123907817;1134301260032;GENERICO                                          ;AMPOLA                        ;HIPOLABOR                     ;NOREPINEFRINA INJETAVEL 8MG/4ML IV (G)                                                                                                                                                                  ;AMPOLA                        ;50                
8288         ;7891899080517;80384550003  ;II - MEDIO RISCO                                  ;PACOTE                        ;MELHORMED                     ;CAMPO OPERATORIO 45 X 50 CM TIPO 27 C/50 UNI                                                                                                                                                            ;PACOTE                        ;1                 
12442        ;7896004750361;1023506320019;GENERICO                                          ;COMPRIMIDO                    ;EMS                           ;ESPIRONOLACTONA 25MG COMPRIMIDO (G)                                                                                                                                                                     ;COMPRIMIDO                    ;30                
8685         ;1789841582107;1559200020428;AGUA PARA INJETAVEIS                              ;AMPOLA                        ;SAMTEC                        ;AGUA PARA INJETAVEIS PLASTICO 05ML                                                                                                                                                                      ;AMPOLA                        ;200               
12063        ;7898563770255;ISENTO       ;FITA ADESIVA                                      ;Unidade                       ;CIEX                          ;FITA ADESIVA CREPE 16MMX50M                                                                                                                                                                             ;Unidade                       ;1                 
12095        ;7898148298877;1256801560032;GENERICO                                          ;FRASCO                        ;PRATI DONADUZZI               ;AMOXICILINA SUSPENSAO 50MG/ML 150ML (G)                                                                                                                                                                 ;FRASCO                        ;50                
12098        ;7897406114393;1006302270021;GENERICO                                          ;FRASCO-AMPOLA                 ;BIOCHIMICO                    ;CEFEPIMA PO INJETAVEL 1GR (G)                                                                                                                                                                           ;FRASCO-AMPOLA                 ;50                
12157        ;7897460400364;1565100450026;TRANSAMIN                                         ;AMPOLA                        ;ZYDUS                         ;ACIDO TRANEXAMICO INJETAVEL 50MG/ML 5ML                                                                                                                                                                 ;AMPOLA                        ;5                 
12190        ;7898940658992;1565100520032;GENERICO                                          ;COMPRIMIDO                    ;ZYDUS                         ;HEMIFUMARATO DE QUETIAPINA 25MG (G) (C1)***                                                                                                                                                             ;COMPRIMIDO                    ;30                
12310        ;0609963006281;80808480058  ;II - MEDIO RISCO                                  ;Unidade                       ;BECARE                        ;SONDA ASPIRACAO SISTEMA FECHADO N. 14                                                                                                                                                                   ;Unidade                       ;10                
12166        ;7898430461545;10207820015  ;II - MEDIO RISCO                                  ;Unidade                       ;MARK MED                      ;SONDA ASPIRACAO TRAQUEAL N. 10                                                                                                                                                                          ;Unidade                       ;1                 
12375        ;7898911244711;1556200220058;GENERICO                                          ;FRASCO                        ;ABL                           ;CEFALEXINA SUSPENSAO 250MG/5ML 60ML (G)                                                                                                                                                                 ;FRASCO                        ;1                 
